body,task,disturbance,seed,controller,success,workflow_completed,stage_pass_rate,final_relation_error,final_object_error,final_object_speed,deadline_steps,steps_used,recoveries,localized_failure,exception_type,contract_hash,min_joint_limit_margin,final_min_jacobian_singular_value,energy,reflex_steps,predictive_checks,predictive_rejections,predictive_accepts,push_stage_reached,push_stage_sensed_stable,observer_checks,observer_rejections,observer_accepts,push_steps,push_torque_saturation_fraction,push_contact_fraction,push_contact_losses,push_progress,push_mean_tangent_force,push_min_jacobian_singular_value,push_min_joint_limit_margin,capacity_limit_active_steps,capacity_limit_binding_steps,contact_approach_steps,contact_hold_steps,contact_loss_events,contact_completed_stages,contact_timeout_before_first_touch,contact_timeout_after_touch,capacity_approach_binding_steps,capacity_hold_binding_steps,contact_hold_control_steps,contact_normal_force_p25,contact_normal_force_p50,contact_dwell_steps_p50,contact_hold_entries,contact_hold_exits,contact_reference_hold_steps,local_proprioceptive_control_steps,transition_proposals,transition_confirmations,transition_expirations,condition,innovation_threshold,first_failed_stage,false_terminal_accept,joint_boundary_violation,estimate_accepts,estimate_rejects,estimate_reasons
arm5_weak_actuator,push_to_zone,severe,35005,capability_compiled,False,False,0.0,0.23164665309815247,0.23164665309815247,7.756640021131338e-08,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.442786766701289,0.22671403611104138,156.16891635150498,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_weak_actuator,push_to_zone,severe,35006,capability_compiled,False,False,0.0,0.1773616601152093,0.1773616601152093,7.020657673743389e-11,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.5595106508816317,0.23905712272073562,155.0296772853354,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,2,133,"{""high_innovation"": 133}"
arm5_weak_actuator,push_to_zone,severe,35007,capability_compiled,False,False,0.0,0.20795979789340555,0.20795979789340555,5.070876376490033e-08,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.5115595406531126,0.23917146069373346,149.81905668870004,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_weak_actuator,push_to_zone,severe,35008,capability_compiled,False,False,0.0,0.2040868454353329,0.2040868454353329,3.006314373904444e-08,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.47345576651322796,0.23479956963619472,152.4911941468752,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_posture_shifted,push_to_zone,severe,35001,capability_compiled,False,False,0.0,0.23851722339401796,0.23851722339401796,0.14795942801927567,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.7529459289206293,0.2834419330077881,149.46807570906756,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_posture_shifted,push_to_zone,severe,35002,capability_compiled,False,False,0.0,0.6095822883501746,0.6095822883501746,0.5881161535102963,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.7745404043780466,0.28398280294338224,151.27112982706055,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_posture_shifted,push_to_zone,severe,35003,capability_compiled,False,False,0.0,0.261068064339383,0.261068064339383,6.555676283395703e-08,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.7707266894901679,0.2847665453766405,146.48662813813897,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_posture_shifted,push_to_zone,severe,35004,capability_compiled,False,False,0.0,0.4820798956115313,0.4820798956115313,0.29274729714004016,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.771010938971997,0.28039380808342745,144.75887719453792,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_posture_shifted,push_to_zone,severe,35005,capability_compiled,False,False,0.0,0.27898437192585784,0.27898437192585784,4.738405008170406e-11,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.7315530769967249,0.2831926869901148,149.6976053533876,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_posture_shifted,push_to_zone,severe,35006,capability_compiled,False,False,0.0,0.3329287593413686,0.3329287593413686,0.44338898406054145,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.8231887408239764,0.2860111983117798,152.97967093536676,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
