body,task,disturbance,seed,controller,success,workflow_completed,stage_pass_rate,final_relation_error,final_object_error,final_object_speed,deadline_steps,steps_used,recoveries,localized_failure,exception_type,contract_hash,min_joint_limit_margin,final_min_jacobian_singular_value,energy,reflex_steps,predictive_checks,predictive_rejections,predictive_accepts,push_stage_reached,push_stage_sensed_stable,observer_checks,observer_rejections,observer_accepts,push_steps,push_torque_saturation_fraction,push_contact_fraction,push_contact_losses,push_progress,push_mean_tangent_force,push_min_jacobian_singular_value,push_min_joint_limit_margin,condition,first_failed_stage,safe
arm5_weak_actuator,push_to_zone,delay_0_noise_0,27020,capability_compiled,False,False,0.6666666666666666,0.10167684557132149,0.10167684557132149,0.021715879407532578,720,473,0,True,stage_timeout,2ebd5a46a509772b,0.27372044736308476,0.18305459855871917,18.589138278076145,0,0,0,0,True,False,31,6,25,330,0.0,0.9757575757575757,7,0.08522190466483547,0.4192402088053478,0.18312167030488488,0.25921080689194964,delay_0_noise_0,push,True
arm5_weak_actuator,push_to_zone,delay_0_noise_0,27021,capability_compiled,False,False,0.6666666666666666,0.0953639695223436,0.0953639695223436,0.013139552557760437,720,466,0,True,stage_timeout,2ebd5a46a509772b,0.21964447899988349,0.1772465962151488,18.020977454100464,0,0,0,0,True,False,28,5,23,330,0.0,0.9696969696969697,8,0.09078122095075097,0.3980172205972321,0.17732309380505973,0.2153781204603904,delay_0_noise_0,push,True
arm5_weak_actuator,push_to_zone,delay_0_noise_0,27022,capability_compiled,False,False,0.6666666666666666,0.09610378367718937,0.09610378367718937,0.012885355756525448,720,475,0,True,stage_timeout,2ebd5a46a509772b,0.3436416803136484,0.19564726470261418,19.081451421323372,0,0,0,0,True,False,33,6,27,330,0.0,0.9636363636363636,10,0.09233589637370758,0.4505140343194208,0.19570878989881224,0.31840481534218723,delay_0_noise_0,push,True
arm5_weak_actuator,push_to_zone,delay_0_noise_0,27023,capability_compiled,False,False,0.6666666666666666,0.10745540208691921,0.10745540208691921,0.013027899390509688,720,477,0,True,stage_timeout,2ebd5a46a509772b,0.259765797609417,0.18573121612798651,17.438938558493994,0,0,0,0,True,False,33,7,26,330,0.0,0.9636363636363636,8,0.08113894006078833,0.4568479594290217,0.18581024635797558,0.2598703805058791,delay_0_noise_0,push,True
arm5_weak_actuator,push_to_zone,delay_0_noise_0,27024,capability_compiled,False,False,0.6666666666666666,0.13000301360100186,0.13000301360100186,0.009271960045850031,720,485,0,True,stage_timeout,2ebd5a46a509772b,0.042143265794829965,0.1539262216492139,17.135664324377064,0,0,0,0,True,False,34,9,25,330,0.0,0.9818181818181818,6,0.05882593059026822,0.27228734553869915,0.1540134029138267,0.04228388755286128,delay_0_noise_0,push,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27001,capability_compiled,True,True,1.0,0.010520809210128271,0.010520809210128271,0.0011451771379097366,720,720,0,False,,2ebd5a46a509772b,0.6497423950977788,0.22268991174786198,22.59234107716251,0,0,0,0,True,True,28,5,23,314,0.0,0.8471337579617835,30,0.19173862417849272,0.6260116422778476,0.21382663435157642,0.5092917899420519,delay_0_noise_0,,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27002,capability_compiled,False,False,0.6666666666666666,0.10062030086529355,0.10062030086529355,0.047944442234309756,720,508,0,True,stage_timeout,2ebd5a46a509772b,0.34787719066908274,0.19945081671495254,17.808174642382035,0,0,0,0,True,False,33,7,26,330,0.0,0.9363636363636364,12,0.1532327567387488,0.557376106959098,0.19953701339846097,0.3432267652503307,delay_0_noise_0,push,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27003,capability_compiled,False,False,0.6666666666666666,0.024089404765629135,0.024089404765629135,0.1266723174771207,720,493,0,True,stage_timeout,2ebd5a46a509772b,0.515215557373677,0.20609858463412603,18.47160834819764,0,0,0,0,True,True,35,7,28,330,0.0,0.9181818181818182,16,0.19364586915937868,0.6290671322486932,0.20618038394330448,0.420534160166131,delay_0_noise_0,push,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27004,capability_compiled,False,False,0.6666666666666666,0.06474167024350032,0.06474167024350032,0.03633692338474951,720,493,0,True,stage_timeout,2ebd5a46a509772b,0.44186001803869646,0.2051165312179091,17.576380241237043,0,0,0,0,True,False,31,6,25,330,0.0,0.9575757575757575,10,0.15877769170675288,0.568162250656363,0.20514824216615116,0.3918113658934588,delay_0_noise_0,push,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27005,capability_compiled,False,False,0.6666666666666666,0.09067514006918116,0.09067514006918116,0.024810471350694443,720,496,0,True,stage_timeout,2ebd5a46a509772b,0.2876357810690773,0.18738966656178208,16.917778138583248,0,0,0,0,True,False,35,9,26,330,0.0,0.9575757575757575,10,0.12498866598565377,0.5175585396631665,0.1874441688552556,0.27700268977534526,delay_0_noise_0,push,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27006,capability_compiled,False,False,0.3333333333333333,0.3861957795523733,0.3861957795523733,0.02577355201851182,720,204,0,True,stage_timeout,2ebd5a46a509772b,0.40534828247732335,0.2685449396985141,18.24229390087859,0,0,0,0,False,False,30,8,22,0,0.0,0.0,0,0.0,0.0,nan,nan,delay_0_noise_0,contact,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27007,capability_compiled,False,False,0.6666666666666666,0.07575513908677611,0.07575513908677611,0.04654826913688243,720,497,0,True,stage_timeout,2ebd5a46a509772b,0.41453257158929,0.20292932105088998,16.97659880062422,0,0,0,0,True,False,31,7,24,330,0.0,0.9666666666666667,8,0.14796384607282465,0.5691187504134562,0.20296834383683587,0.35788851932063714,delay_0_noise_0,push,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27008,capability_compiled,False,False,0.6666666666666666,0.05809090951736567,0.05809090951736567,0.22948346179021206,720,491,0,True,stage_timeout,2ebd5a46a509772b,0.4362233772213684,0.2057870289659393,18.983526752614875,0,0,0,0,True,False,32,6,26,330,0.0,0.9090909090909091,19,0.16391573752615413,0.6335793530275553,0.20622845830120545,0.4160036128433844,delay_0_noise_0,push,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27009,capability_compiled,False,False,0.6666666666666666,0.036426445757110786,0.036426445757110786,0.25341960530126006,720,484,0,True,stage_timeout,2ebd5a46a509772b,0.5114484705715467,0.21088351025628033,18.588144226397226,0,0,0,0,True,True,38,7,31,330,0.0,0.9424242424242424,16,0.16659751695478384,0.6094004982089892,0.21122379668095104,0.43502118550711266,delay_0_noise_0,push,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27010,capability_compiled,False,False,0.6666666666666666,0.06511721769317694,0.06511721769317694,0.04618640630092909,720,492,0,True,stage_timeout,2ebd5a46a509772b,0.4327281344144067,0.2032647744754512,16.89069165236628,0,0,0,0,True,False,39,8,31,330,0.0,0.9636363636363636,11,0.14405142055096226,0.5647084848841404,0.20330100479889582,0.36856375699312105,delay_0_noise_0,push,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27011,capability_compiled,False,False,0.6666666666666666,0.02485657747935195,0.02485657747935195,0.10020327699914798,720,476,0,True,stage_timeout,2ebd5a46a509772b,0.45522479912623215,0.1986913127792365,17.785607651211766,0,0,0,0,True,True,26,4,22,330,0.0,0.896969696969697,20,0.18780033285394498,0.6671969062195152,0.1987345519152134,0.43065270686523993,delay_0_noise_0,push,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27012,capability_compiled,False,False,0.6666666666666666,0.09038961095761519,0.09038961095761519,0.0365052599324951,720,512,0,True,stage_timeout,2ebd5a46a509772b,0.424029467053209,0.210434082361641,18.474518192054177,0,0,0,0,True,False,41,8,33,330,0.0,0.9181818181818182,21,0.16822765736871034,0.609091484579408,0.210548012829163,0.4240578301316913,delay_0_noise_0,push,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27013,capability_compiled,False,False,0.6666666666666666,0.056790187573551955,0.056790187573551955,0.1718179815067351,720,489,0,True,stage_timeout,2ebd5a46a509772b,0.38240534674138793,0.19942981038523286,18.981062155183544,0,0,0,0,True,False,33,7,26,330,0.0,0.9575757575757575,12,0.15226124501733387,0.5837435013165131,0.1999247657533851,0.33331582223278255,delay_0_noise_0,push,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27014,capability_compiled,True,True,1.0,0.009034429213841821,0.009034429213841821,0.0014815768868618859,720,720,0,False,,2ebd5a46a509772b,0.6435150740342452,0.2197740787533522,19.1956721411566,0,0,0,0,True,True,35,6,29,329,0.0,0.8966565349544073,23,0.20124892545118458,0.654226208955219,0.20884145386056316,0.4496555614266957,delay_0_noise_0,,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27015,capability_compiled,False,False,0.6666666666666666,0.05670006895612459,0.05670006895612459,0.17191571522253848,720,490,0,True,stage_timeout,2ebd5a46a509772b,0.4118747264622753,0.20038403958975518,18.31545546369709,0,0,0,0,True,False,35,7,28,330,0.0,0.9575757575757575,12,0.15338417057075274,0.5781372289195658,0.2008615702907243,0.36830528833866794,delay_0_noise_0,push,True
arm5_posture_shifted,push_to_zone,delay_0_noise_0,27016,capability_compiled,True,True,1.0,0.01934800079627895,0.01934800079627895,0.0015159516935664373,720,720,0,False,,2ebd5a46a509772b,0.6525736969899678,0.21931579534472156,19.999811612038783,0,0,0,0,True,True,33,6,27,329,0.0,0.8875379939209727,22,0.19334149348281204,0.6916860343068131,0.2076384451747322,0.442211692206389,delay_0_noise_0,,True
